Varenummer;Varegruppenavn;Varenavn;Pris;Beholdning;Vaegt;Modelbetegnelse;EAN nummer;Producentnavn;Leveringstid
15107;Hardware;CORSAIR Value Select DDR2  1GB 533MHz;15.13;2;0.03;VS1GB533D2;0870584003601;Corsair;0
16677;Hardware;G.Skill NT Series DDR3  8GB 1600MHz CL11;26.91;1;0.025;F3-1600C11S-8GNT;13058;G.Skill;0
16862;Hardware;Kingston DataTraveler G4 8GB;3.35;50;0.01;DTIG4/8GB;0740617220445;Kingston Technology;0
17116;Hardware;CORSAIR DDR3  4GB 1333MHz CL9   SO-DIMM  204-PIN;17;1;0.026666;CMSO4GX3M1A1333C9;0843591007146;Corsair;0
18557;Hardware;Seagate Hybrid harddisk Desktop SSHD 2TB 3.5 SATA-600;67.41;0;0.63;ST2000DX001;7330381102615;Seagate;3
22244;Hardware;Apple USB SuperDrive DVD±RW (±R DL) drev;64.27;2;0.34;MD564ZM/A;0885909575794;Apple;0
27802;Hardware;Logitech Z-120 Højttalere;11.38;50;1.5;980-000513;5099206028074;Logitech;0
27851;Hardware;Logitech S-120 Sort Højttalere;10.98;12;0.25;980-000010;5099206003989;Logitech;0
28071;Hardware;APC Replacement Battery Cartridge #55 UPS-batteri;330.64;0;24.3;RBC55;0731304233510;APC;3
46082;Hardware;Intel PRO/1000 PCI Netværksadapter 1Gbps;20.87;0;0.12;PWLA8391GTBLK;0735858169073;Intel;4
55362;Hardware;HP 645A Magenta 12000 sider;290.02;0;0.2;C9733A;88698445433;Hewlett-Packard;3
55414;Hardware;HP 309A Gul 4000 sider;69.09;0;1;Q2672A;808736549882;Hewlett-Packard;5
55512;Hardware;Canon CLI 521Y Gul 500 sider;8.97;50;0.041428;2936B001;4960999577531;Canon;0
55558;Hardware;Brother TN 11 Magenta 6000 sider;75.84;0;0.1;HGE261V5;4977766684651;Brother;7
55870;Hardware;Brother Innobella Premium  BP71GA4 Fotopapir A4 (210 x 297 mm) 20ark;6.43;14;0.3;BP71GA4;4977766658416;Brother;0
55946;Hardware;Brother TN135M - Højtydende - magenta - original - tonerpatron - for Brother DCP-9040, 9042, 9045, MFC-9420, 9440, 9450, 9840  HL-4040, 4050, 4070;88.21;0;1.147142;TN135M;4977766648158;Brother;4
55932;Hardware;Brother LC 1240 Value-Pack Sort Gul Cyan Magenta 600 sider;46.86;50;0.5;LC1240VALBPDR;5014047562402;Brother;0
56020;Hardware;Epson T0795 Lys cyan 540 sider;12.99;0;0.3;C13T07954010;8715946360621;Epson;5
55957;Hardware;Brother LC 970C Cyan 300 sider;7.78;0;0.2;LC970C;4977766648509;Brother;5
56309;Hardware;OKI Gul 2500 sider;84.22;0;0.234;43459329;5031713040538;OKI;7
56479;Hardware;Brother TN230BK - Sort - original - tonerpatron - for Brother DCP-9010CN, MFC-9120CN, MFC-9320CN, MFC-9320CW  HL-3040CN, 3040CW, 3070CW;51.55;31;0.765;TN230BK;4977766666954;Brother;0
56640;Hardware;Brother TN 320Y Gul 1500 sider;57.84;2;0.814285;TN320Y;4977766679374;Brother;0
56899;Hardware;Xerox Phaser 8560MFP Gul 3400 sider ;117.83;0;0.113333;108R00725;95205427509;Xerox;5
56985;Hardware;Canon 731 C Cyan 1500 sider;47.53;24;0.791666;6271B002;4960999904733;Canon;0
57023;Hardware;Canon C-EXV 22 Sort 48000 sider;71.9;0;2.95;1872B002;4960999415253;Canon;-49
61208;Hardware;Canon MP 101 Fotopapir A3 (297 x 420 mm) 40ark;15.4;0;0.4;7981A008;5706551018826;Canon;5
62236;Hardware;SteelSeries QcK mini;7.36;10;0.5;63005;5707119001793;SteelSeries;0
62717;Hardware;Logitech M510 Laser Trådløs Sort;26.11;50;0.1;910-001826;5099206022126;Logitech;0
62788;Hardware;Logitech M235 Optisk Trådløs Rød;14.19;32;0.1;910-002496;5099206029347;Logitech;0
62992;Hardware;Razer Anansi Expert MMO Gaming Keyboard Tastatur Kabling Nordisk;33.34;27;0.825;RZ03-00550600-R3N1;8886419340317;Razer USA;0
67689;Mobiler, Telefoni & Navigation;Lenco SCD-38 USB Boombox Pink;38.59;0;1.23;SCD38USBRO;8711902025696;Lenco;5
70642;Hardware;LogiLink USB Line Extender - USB-forlængerkabel - op til 60 m;9.24;15;0.51;UA0021D;4260113567487;2direct;0
70711;Hardware;LogiLink USB 2.0 Hub 4-Port;7.36;0;0.1;UA0086;4052792004427;2direct;7
71004;Hardware;LogiLink Netværksadapter USB 3Mbps Trådløs;6.56;5;0;BT0015;4052792001563;2direct;0
71125;Hardware;LogiLink Optisk Kabling Sort;3.62;10;0.12;ID0011;4260113566626;2direct;0
75340;Hardware;Toshiba Harddisk DT01ACA100 1TB 3.5 SATA-600 7200rpm;31.47;13;0.45;DT01ACA100;0608729688839;Toshiba;0
75584;Hardware;Noctua NH-U14S Processor-køler;55.03;17;0.94;NH-U14S;4716123314950;Noctua;0
81188;Hardware;HP 364 Foto-sort 130 sider;15.26;0;0.04;CB317EE#ABB;0883585705146;Hewlett-Packard;5
81204;Hardware;HP 90A Sort 10000 sider;131.09;2;0.5;CE390A;884962517758;Hewlett-Packard;0
81211;Hardware;Canon CLI 8M Magenta 565 sider;9.77;48;0.045;0622B001;4960999272702;Canon;0
81216;Hardware;Canon CLI 8PC Fotocyan 450 sider;9.91;21;0.045;0624B001;4960999272894;Canon;0
82407;Hardware;Lexmark Sort 6000 sider;84.76;0;0.338333;C544X1KG;734646083539;Lexmark International;5
82433;Hardware;Canon CLI 551M XL Magenta 660 sider;11.92;50;0.051666;6445B001;4960999904924;Canon;0
82544;Hardware;HP 727  fotosort;59.32;0;0.197;B3P23A;887111963789;Hewlett-Packard;5
82595;Hardware;Canon PG 545 Sort 180 sider;11.52;0;0.07;8287B004;8714574605487;Canon;2
82568;Hardware;Epson T692300 Magenta;49.81;0;0.353;C13T692300;10343886100;Epson;5
83187;Hardware;Targus Bæretaske  16 Polyester Sort;10.71;34;0.55;CN31;5024442931703;Targus;0
83617;Hardware;Dell EURO 2 Simple E-Port II Portreplikator;105.66;0;0.78;452-11422;5397063812271;Dell;3
85080;Hardware;WD Elements Portable Harddisk WDBUZG0010BBK 1TB USB 3.0;42.71;32;0.13;WDBUZG0010BBK-EESN;0718037807607;Western Digital;0
94743;Hardware;TRENDnet TEW AO14D;35.35;1;0.45;TEW-AO14D;0710931600070;TRENDnet;0
94799;Hardware;TRENDnet TK CU10 Kabel til tastatur / video / mus (KVM);10.59;0;0.27;TK-CU10;0710931304350;TRENDnet;4
95537;Hardware;Kingston SSD Intallation Kit;18.36;0;0.05;SNA-B;0740617220605;Kingston Technology;5
95758;Hardware;Microsoft Wireless Mobile Mouse 3500 for Business Optisk Trådløs Grå;15.93;8;0.1;5RH-00001;0885370249149;Microsoft;0
95774;Hardware;Microsoft Sculpt Comfort Desktop - Nordic;56.24;0;0.98;L3V-00009;0885370595970;Microsoft;5
95754;Hardware;Creative T4 Wireless 2.1-kanal Sort Højttalersystem;196.4;0;2;51MF0430AA000;5390660184161;Creative Technology;7
96124;Hardware;NETGEAR FS116Pv2 Switch 16-porte 10/100  PoE;166.97;0;0.84;FS116PEU;0606449041729;NETGEAR;5
96807;Hardware;NETGEAR FS205 Switch 5-porte 10/100;8.08;0;0.1;FS205-100PES;0606449090239;NETGEAR;5
96879;Hardware;TRENDnet TEG S82g   GREENnet  Switch 8-porte Gigabit;19.95;30;0.38;TEG-S82g;0710931140057;TRENDnet;0
98291;Hardware;Crucial DDR3L  8GB kit 1600MHz CL11   SO-DIMM  204-PIN ;38.58;0;0.04;CT2KIT51264BF160BJ;0649528762214;Crucial;5
98563;Hardware;Philips V-line 273V5LHSB 27 1920 x 1080 VGA (HD-15) HDMI 60Hz;113.55;8;4.53;273V5LHSB/00;8712581689896;Philips;0
98667;Hardware;CORSAIR Value Select DDR3L  16GB kit 1600MHz CL11   SO-DIMM  204-PIN;53.43;1;0.03;CMSO16GX3M2C1600C11;0843591044943;Corsair;0
202245;Hardware;HP 56/57 Combo Pack Sort Farve (cyan, magenta, gul);56.5;0;0.15;SA342AE;882780316492;Hewlett-Packard;5
206731;Hardware;NETGEAR JGS524v2 Switch 24-porte Gigabit;97.62;0;1.65;JGS524-200EUS;0606449064261;NETGEAR;7
208415;Hardware;Canon CLI 36 Twin Pack Farve (cyan, magenta, gul) 249 sider;20.75;1;0.0825;1511B018;8714574572178;Canon;0
214818;Hardware;CORSAIR XMS3 DDR3  4GB 1333MHz CL9;16.96;0;0.06;CMX4GX3M1A1333C9;0843591010276;Corsair;4
16516;Hardware;Kingston DataTraveler Vault - Privacy Edition 1GB;18.83;0;0.048;HX316C10FB/4;0740617230390;Kingston Technology;4
214819;Hardware;CORSAIR XMS3 DDR3  8GB kit 1333MHz CL9;33.08;0;0.1125;CMX8GX3M2A1333C9;0843591008693;Corsair;5
16566;Hardware;SanDisk microSDHC 16GB Class 4;3.75;14;0;SDSDQM-016G-B35;4016985935752;SanDisk;0
260253;Hardware;Canon CL 541XL Farve (cyan, magenta, gul) 400 sider;17.41;50;0.3;5226B005;8714574572604;Canon;0
16675;Hardware;G.Skill NT Series DDR3  4GB 1600MHz CL11;14.66;0;0.025;F3-1600C11S-4GNT;0848354009535;G.Skill;7
286624;Hardware;LogiLink Ekstern Lagringspakning USB 2.0 ATA 2.5;5.48;0;0.4;UA0040A;4260113567890;2direct;4
286746;Hardware;Sedna USB-adapter PCIe x1;13.1;0;0.11;SE-PCIE-USB3-2;4895135701801;Sedna Advanced Electronics;4
286908;Hardware;LogiLink USB Sound Box Dolby 7.1 USB Ekstern;19.25;0;0.267;UA0099;4052792005172;2direct;4
296780;Hardware;DeLock Seriel adapter USB 128Kbps Kabling;7.9;11;0.09;61856;4043619618569;DeLOCK;0
16849;Hardware;CORSAIR DDR3  2GB 1333MHz CL9;12.18;0;0.04;VS2GB1333D3;0843591005098;Corsair;5
317285;Hardware;3M PF15.6W - Notebook privacy-filter - 15.6 bred - for ThinkPad E540  ThinkPad Edge E13X  E53X  E545  ThinkPad L520  L540  T540  T550  W540  X140;36.47;0;0.26;0A61771;0645743580596;Lenovo;5
349940;Hardware;Kingston ValueRAM DDR3  8GB 1600MHz CL11   SO-DIMM  204-PIN;30.63;0;0.01;KVR16S11/8;0740617207019;Kingston Technology;6
352388;Hardware;DeLOCK USB 3.0 USB forlængerkabel 15cm Sort;3.94;4;0.02;82776;4043619827763;DeLOCK;0
352414;Hardware;DeLOCK Seriel ATA-forlængerkabel Gul 30cm;2.06;0;0.001;82855;4043619828555;DeLOCK;4
464608;Hardware;Dell Gul 2500 sider;93.06;0;0.345;593-11037;3300666047470;Dell;7
470464;Hardware;HP 15X Sort 3500 sider;58.38;0;1;C7115X;725184518461;Hewlett-Packard;4
475514;Hardware;DeLOCK - USB-adapter - mini-USB type B (han) - mini-USB type B (hun);2.76;0;1;65097;4043619650972;DeLOCK;4
481520;Hardware;NETGEAR Netværksadapter USB 2.0 300Mbps Trådløs;12.99;4;0;WNA3100M-100PES;0606449081350;NETGEAR;0
501286;Hardware;Brother STe 161 Stempeltape  (3,6 cm x 3 m) 1rulle(r);13.71;0;0.2;STe161;4977766692809;Brother;5
503033;Hardware;Intenso Alu Line 64GB;6.03;13;0.01;3521491;4034303016471;Intenso;0
504598;Hardware;TP-Link TL-SF1016D  Mbps Desktop  Switch 16-porte 10/100;13.93;6;1.23;TL-SF1016D;6935364020293;TP-LINK Technologies;0
506663;Hardware;CORSAIR Vengeance DDR3  16GB kit 1600MHz CL10;58.13;0;0.115;CMZ16GX3M2A1600C10B;0843591036054;Corsair;5
506594;Hardware;HP 131x Sort 2400 sider;66.81;28;0.77875;CF210X;886111334964;Hewlett-Packard;0
506683;Hardware;Kingston ValueRAM DDR3  8GB 1600MHz CL11     ;32.08;0;0.026666;KVR16N11H/8;0740617212242;Kingston Technology;5
523014;Hardware;DeLOCK USB 3.0 Card Reader All in 1  3 Port USB 3.0 Hub Kortlæser USB 3.0;30.93;8;0.09;91721;4043619917211;DeLOCK;0
522907;Hardware; ;26.3;0;0.36;508-77;5705730508776;Sandberg;3
537669;Hardware;ASUS VG248QE 24 1920 x 1080 DVI HDMI DisplayPort 144Hz Pivot Skærm;168.08;0;4.99;90LMGG001Q022B1C-;0886227325177;ASUSTeK COMPUTER;7
22265;Hardware;Pioneer BDR-209DBK BD-RE-enhed;49.68;1;0.74;BDR-209DBK;0884938243308;Pioneer;0
553450;Hardware;DeLOCK USB 2.0 USB-kabel 50cm;3.69;0;0.053333;83119;4043619831197;DeLOCK;4
555402;Mobiler, Telefoni & Navigation;Konftel Expansion Mikrofon Kabling ;163.1;0;0.16;900102113;7394001021083;Konftel;2
28072;Hardware;APC Replacement Battery Cartridge #5 UPS-batteri;86.39;0;5;RBC5;0731304003274;APC;4
566303;Hardware;SanDisk Cruzer Force 16GB ;3.83;0;0.01;SDCZ71-016G-B35;0619659091392;SanDisk;7
920032;Mobiler, Telefoni & Navigation;Jabra SPEAK 510 UC Sort;92.65;0;0.2;7510-409;5706991016307;Jabra;3
920397;Hardware;Thrustmaster Ferrari 458 Italia;65.48;2;3.58;2960734;3362932914242;ThrustMaster;0
985654;Hardware;HP EliteDisplay E190i 18.9 1280 x 1024 DVI VGA (HD-15) DisplayPort 60Hz Pivot Skærm;135.84;0;3;E4U30AA#ABB;0887758636329;;5
985705;Hardware;HP 130A Gul 1000 sider;44.86;25;0.508571;CF352A;886112939304;Hewlett-Packard;0
985944;Hardware;WD Purple Surveillance Hard Drive Harddisk WD40PURX 4TB 3.5 SATA-600;104.31;2;0.68;WD40PURX;0718037823317;Western Digital;0
986153;Hardware;Linksys Business  High Power  Injector 30Watt;40.04;1;0.39;LACPI30-EU;4260184663361;Linksys;0
1002052;Hardware;HPE Harddisk Enterprise 600GB 2.5 SAS 2 10000rpm ;105.23;0;0.45;652583-B21;0886111585137;Hewlett-Packard;4
1007149;Hardware;NZXT HUE Lyskontrol til systemkabinet;24.36;0;0.001;AA-HUE30-01;0815671011022;NZXT;5
1010277;Hardware;Cooler Master Silencio 550 Miditower ATX Ingen strømforsyning Sort;69.36;11;9.2;RC-550M-KKN1;4719512043158;Cooler Master;0
1009323;Hardware;DeLOCK WLAN antenna ;4.02;0;0.014;88395;4043619883950;DeLOCK;4
1018355;Hardware;Xerox Phaser 6500 Magenta 2500 sider;91.85;0;0.12;106R01595;95205849745;Xerox;5
1019699;Hardware;Canon PFI 102 C  blå;43.25;0;0.177;0896B001;4960999299785;Canon;5
1043909;Hardware;IOI FireWire adapter PCIe x1;52.26;0;0.11;61643;4043619616435;DeLOCK;4
1050202;Hardware; ;11.86;0;0.17;14121-30;0706487013372;Jabra;2
1060423;Hardware;Intenso Harddisk Memory Drive 1TB 2.5 USB 3.0 5400rpm;40.04;9;0.17;6023560;4034303016518;Intenso;0
1066352;Hardware;HP 72  rød;44.45;1;0.13;C9372A;808736779807;Hewlett-Packard;0
1069471;Hardware;Jabra - Batteri til hovedsæt Li-Ion 315 mAh - for PRO 9460, 9460 DUO, 9460 NCSA, 9470, 9470 NCSA;15.35;0;0.03;14192-00;7330381640230;Jabra;3
1091234;Hardware;D-Link GO-SW-5G Switch 5-porte Gigabit;12.11;17;0.08;GO-SW-5G/E;0790069365676;D-Link;0
1102335;Hjem & Hobby;Panasonic Sort/ sølv Shaver ES-LV65;96.78;0;0.86;ES-LV65-S803;5025232732050;Panasonic;5
36474;Hardware;Toshiba Hi Speed Port Replicator II (2-pin) Portreplikator;14.8;0;0.95;PA3916E-1PRP;4026203865419;Toshiba;3
1116189;Hardware;Antec GX500 Miditower ATX Ingen strømforsyning Sort;33.85;0;4.5;0-761345-15500-7;0761345155007;Antec;5
1145576;Hardware;Cisco 1.8m Serielt kabel ;15.46;0;0.08;CAB-CONSOLE-RJ45=;0882658213243;Cisco Systems;3
1146594;Hardware;APC 10/100 Adapter for fjernadministration;187.32;8;0.08;AP9630;0731304267416;APC;0
1981000;Hardware;ZALMAN ZM STG2 Termisk paste ;6.87;0;0;ZM-STG2;8809213761324;ZALMAN;5
1981121;Hardware;ARCTIC F12 Indsats med blæser;3.88;0;0.14;AFACO-12000-GBA01;0872767002623;ARCTIC;7
987655445;Hardware;Fellowes Laminating Pouches Laminerings poser;19.26;0;1.61;5307506;0077511530753;Fellowes;5
987656176;Hardware;HPE Low Power kit DDR3L  8GB 1333MHz CL9 reg ECC;32.48;0;0.04;647897-B21;4948382808677;Hewlett-Packard;4
987656399;Hardware;Verbatim 5x BD-RE DL 50GB;24.92;0;0.466666;43760;0023942437604;Verbatim;5
987656430;Hardware;Philips DW4S4J05F 5x DVD+RW 4.7GB ;9.16;0;0.43;DW4S4J05F/10;;Philips;4
987656604;Hardware;Brother TZe 222 Lamineret bånd  (0,9 cm x 8 m) 1rulle(r);8.15;0;0.04;TZE222;4977766685115;Brother;5
987656667;Hardware;Brother Lamineret bånd  (1,8 cm) 1rulle(r);22.61;0;0.14;TX241;4977766051422;Brother;7
987656706;Hardware;Brother TZe 221 Lamineret bånd  (0,9 cm x 8 m) 1rulle(r);8.3;50;0.04;TZE221;4977766685085;Brother;0
987656698;Hardware;Brother TZe 731 Lamineret bånd  (1,2 cm x 8 m) 1rulle(r);9.08;0;0.04;TZE731;4977766691352;Brother;5
48033;Hardware;DeLOCK Power Tester;16.72;5;0.5;18159;4043619181599;DeLOCK;0
987657207;Hardware;Electronic HP Care Pack;61;0;0.25;UK703E;4053162125629;Hewlett-Packard;5
987657611;Hardware;DeLOCK Nulmodem-kabel Grå 3m;3.46;0;0.155;84169;4043619841691;DeLOCK;4
987657667;Hardware;DeLOCK DVI-kabel 50cm;3.81;0;0.093333;84369;4043619843695;DeLOCK;4
987657675;Hardware;DeLOCK Power Over eSATA kabel Sort 1m;5.23;0;0.08;84389;4043619843893;DeLOCK;4
987657712;Hardware;DeLock Seriel adapter PCIe x1;18.61;5;0.11;89236;4043619892365;DeLOCK;0
987658090;Hardware;DeLOCK Adapter SATA 22 pin female > eSATApd female Lagringskontrol;5.44;0;1;61873;4043619618736;DeLOCK;4
987658612;Hardware;DeLOCK WLAN antenna;4.29;2;0.027;88396;4043619883967;DeLOCK;0
987658984;Hardware;Cisco Small Business WAP121 300Mbps;40.84;2;0.17;WAP121-E-K9-G5;0882658434976;Cisco Systems;0
987658990;Hardware;PowerWalker VI 850 SE UPS;43.67;0;5.14;10120049;4260074975062;BlueWalker;4
987661805;Hardware;ADATA Premier SSD Pro SP900 128GB 2.5 SATA-600;48.38;0;0.08;ASP900S3-128GM-C;4713435794623;ADATA Technology;3
987662536;Hardware;NewStar Vægmontering LCD display 23-60;45.11;0;3.637;PLASMA-W240;8717371444105;NewStar;5
55257;Hardware;HP 125A Sort 2200 sider;57.44;50;0.787142;CB540A;808736839174;Hewlett-Packard;0
55274;Hardware;Brother DR2000 - Tromlekit - for Brother DCP-7010, 7025, MFC-7225, 7420, 7820  FAX-28XX, 2920  HL-20XX  IntelliFAX 2920;63.22;0;0.5;DR2000;4977766630733;Brother;5
55368;Hardware;Brother TN 3060 Sort 6700 sider;51.19;0;0.5;TN3060;4977766623568;Brother;4
55544;Hardware;Canon FC E30 Sort 4000 sider;98.55;0;1;1491A003;4960999820040;Canon;7
55580;Hardware;Brother DK-11209 Adresseetiketter;8.3;37;0.3;DK11209;4977766628136;Brother;0
55583;Hardware;Brother DK-11204 Etiketter til flere formål 17 x 54 mm 400etikette(r);4.37;50;0.09;DK11204;4977766628167;Brother;0
55741;Hardware;HP 42A Sort 10000 sider;106.98;3;2.67375;Q5942A;829160221755;Hewlett-Packard;0
55757;Hardware;HP 643A Cyan 10000 sider;255.07;0;0.3;Q5951A;829160493886;Hewlett-Packard;3
987664375;Hardware;Lexmark 802XK Sort 8000 sider;118.77;0;0.378;80C2XK0;734646481335;Lexmark International;7
987665686;Hardware;Transcend JetFlash 700 32GB;5.22;5;0.01;TS32GJF700;0760557819448;Transcend Information;0
55920;Hardware;Brother LC 1280XLY Gul 1200 sider;14.64;24;0.3;LC1280XLY;4977766694070;Brother;0
55967;Hardware;Brother LC 1240BK Sort 600 sider;16.69;17;0.3;LC1240BK;4977766694001;Brother;0
987667512;Hardware;Canon KP 36IP;11.38;0;0.27;7737A001;4960999047034;Canon;5
987667820;Hardware;HERMA Premium Laminerede adressemærkater 99.1 x 57 mm 1000etikette(r);19.93;0;1;4268;4008705042680;HERMA;4
56097;Hardware;OKI Sort 6000 sider;76.32;0;0.5;43324408;5031713031260;OKI;5
987668994;Hardware;OKI Gul 6000 sider;108.46;0;0.505;45396301;5031713057659;OKI;5
56422;Hardware;Brother TN 241BK Sort 2500 sider;49.01;50;1;TN241BK;4977766718387;Brother;0
987671328;Hardware;HP 72  gul;38.56;0;0.152;C9400A;808736779708;Hewlett-Packard;5
987671932;Hardware;APC Smart-UPS X 120V External  Pack Rack/Tower Batterihus;528.76;1;60.91;SMX120BP;0731304292562;APC;0
56638;Hardware;Brother TN 320C Cyan 1500 sider;57.84;9;0.805714;TN320C;4977766679350;Brother;0
987673590;Hardware;Fujitsu B19-7 LED 19 1280 x 1024 DVI VGA (HD-15) Pivot Skærm;134.43;0;5.48;S26361-K1471-V140;4051554619824;Fujitsu;5
987674302;Hardware;Fellowes Powershred 75Cs;214.89;0;10;4675001;43859628957;Fellowes;7
987674415;Hardware;OKI Sort 30000 sider;117.16;0;1.9575;44844408;5031713053781;OKI;5
987674417;Hardware;OKI Magenta 30000 sider ;117.16;0;1.98;44844406;5031713053767;OKI;5
56845;Hardware;HP 646A Cyan 12500 sider;210.22;0;1.684;CF031A;884962601303;Hewlett-Packard;5
987674948;Hardware;DeLOCK LTE SMA antenna flexible joint;5.22;5;0.01;88571;4043619885718;DeLOCK;0
56893;Hardware;HP 507A Cyan 6000 sider;167.24;2;1.614285;CE401A;884962554579;Hewlett-Packard;0
56897;Hardware;Xerox Phaser 8560MFP Cyan 3400 sider ;117.83;0;0.113333;108R00723;0095205427486;Xerox;4
56923;Hardware;HP 305A Sort 2090 sider;64.14;14;0.857142;CE410A;884962772348;Hewlett-Packard;0
987676692;Hardware;HP Videoadapter HDMI / VGA;22.71;0;0.165;H4F02AA;0887111282125;Hewlett-Packard;3
987676780;Hardware;DeLOCK Ramme Sort;3.31;0;0.07;18205;4043619182053;DeLOCK;4
56988;Hardware;HP 501A - Sort - original - LaserJet - tonerpatron ( Q6470AC ) Contract - for Color LaserJet 3600, 3800, CP3505;84.62;0;1.5;Q6470AC;887111387035;Hewlett-Packard;5
987678493;Hardware;BUFFALO LinkStation 210 2TB ;109.02;0;1.1;LS210D0201-EU;4981254016923;Buffalo Technology;5
57001;Hardware;Canon 732 M Magenta 6400 sider;126.4;0;1.5425;6261B002;4960999909097;Canon;7
987679541;Hardware;Logitech Wireless Trackball M570 Trådløs;45.59;0;0.1;910-002090;5099206025462;Logitech;5
987679638;Hardware;HP SSD 512GB 2.5 SATA-600 ;194.31;0;0.27;D8F30AA;0887758280003;Hewlett-Packard;5
987681704;Hardware;Intel Netværksadapter PCIe 2.0;353.04;0;0.11;E1G44ET2BLK;7330381907852;Intel;3
987682418;Hardware;HyperX FURY DDR3  8GB kit 1333MHz CL9     ;38.06;0;0.096666;HX313C9FBK2/8;0740617230260;Kingston Technology;4
987682432;Hardware;HyperX FURY DDR3  8GB kit 1600MHz CL10;35.74;0;0.095;HX316C10FK2/8;0740617230444;Kingston Technology;5
987682420;Hardware;Digitus DN-19 ORG-3U-SW Rack-kabel styrepanel Sort;11.63;0;0.767;DN-19 ORG-3U-SW;4016032197089;DIGITUS;4
987682510;Hardware;Manhattan Contact CCD Barcode Scanner Stregkodescanner Håndmodel;56.42;0;0.19;401517;0766623401517;Manhattan;7
987682849;Hardware;HyperX FURY DDR3  16GB kit 1866MHz CL10;67.76;0;0.078333;HX318C10FRK2/16;0740617230635;Kingston Technology;4
987683681;Hardware;CORSAIR Carbide Series SPEC-03 Miditower ATX Ingen strømforsyning Sort;48.15;0;5.65;CC-9011052-WW;0843591047265;Corsair;7
987684230;Hardware;Philips V-line 223V5LSB 21.5 1920 x 1080 DVI VGA (HD-15) 60Hz;59.85;36;2.61;223V5LSB/00;8712581689681;Philips;0
987684266;Hardware;Philips V-line 246V5LSB 24 1920 x 1080 DVI VGA (HD-15) 60Hz;82.21;15;4.65;246V5LSB/00;8712581670467;Philips;0
987684365;Hardware;DeLOCK Converter SATA 22 pin > M.2 NGFF Lagringskontrol;19.95;2;0.09;62552;4043619625529;DeLOCK;0
987684477;Hardware;HP 364 Gul 300 sider;8.03;39;0.043;CB320EE;883585705504;Hewlett-Packard;0
987684469;Hardware;HP 15 Sort 495 sider;34.14;7;0.135;C6615DE;25184204549;Hewlett-Packard;0
987684434;Hardware;HP 90  gul ;163.35;0;0.567;C5065A;829160222660;Hewlett-Packard;5
987684446;Hardware;HP 363 Lys magenta;11.65;10;0.04;C8775EE;829160798592;Hewlett-Packard;0
987684641;Hardware;Canon PGI 72R Rød 1045 sider;9.37;0;0.03;6410B001;4960999902296;Canon;5
987684771;Hardware;Epson T0793 Magenta 720 sider;12.99;0;0.044;C13T07934010;8715946360546;Epson;5
987684776;Hardware;Epson T0796 Lys magenta 1020 sider;12.99;0;0.045;C13T07964010;8715946360669;Epson;5
987684777;Hardware;Epson T0803 Magenta;9.77;0;0.038;C13T08034011;8715946494135;Epson;7
987684836;Hardware;Epson T7024 Gul 2000 sider;29.19;0;0.103;C13T70244010;8715946487144;Epson;5
987685012;Hardware;Kyocera TK 590M Magenta 5000 sider;84.36;0;0.416;1T02KVBNL0;632983017494;Kyocera;5
987685031;Hardware;HP 38A Sort 12000 sider;140.99;0;2.79625;Q1338A;808736185417;Hewlett-Packard;5
987685184;Hardware;Brother DR 3000 20000 sider;130.99;0;0.8725;DR3000;4977766623575;Brother;5
987685376;Hardware;Xerox Phaser 3435 Sort 4000 sider ;87.44;0;1.43;106R01414;0095205744446;Xerox;3
987685480;Hardware;APC Back-UPS ES 550 UPS;71.86;0;0.01;BE550G-GR;0731304271666;APC;5
987685502;Hardware;Brother TN 321M Magenta 1500 sider;61.99;13;0.77;TN321M;4977766734998;Brother;0
987685495;Hardware;APC 10/100 Adapter for fjernadministration;241.61;0;0.09;AP9631;0731304267423;APC;3
987685848;Hardware;OKI Magenta 20000 sider;101.49;0;1.34;44318506;5031713046042;OKI;5
987686280;Hardware;HP 80 Gul ;83.42;0;0.432;C4873A;0088698629147;Hewlett-Packard;5
987686282;Hardware;HP 82  blå;33.88;0;0.151;C4911A;725184272707;Hewlett-Packard;5
987686536;Hardware;Epson 1104 42000 sider ;200.71;0;2.768;C13S051104;0;Epson;5
987687061;Hardware;Canon PGI 9PM Fotomagenta 530 sider;9.77;0;0.05;1039B001;4960999357270;Canon;5
987687152;Mobiler, Telefoni & Navigation;NewStar Vægmontering LCD / plasma panel 37-85;52.43;0;6.25;PLASMA-W100;8717371440589;NewStar;4
987687170;Hardware;Epson T0547 Rød 400 sider;14.35;0;0.055;C13T05474010;8715946356365;Epson;5
987687297;Hardware;CHERRY ML4100 Tastatur Kabling Engelsk - USA;41.06;0;0.4;G84-4100LCMEU-2;4025112062575;CHERRY;3
987687488;Hardware;Canon   Glossy II PP-201 Fotopapir 130 x 180 mm 20ark;4.69;44;0.16;2311B018;4960999537276;Canon;0
987687489;Hardware;Canon   SG-201 Fotopapir 101.6 x 152.4 mm 50ark;8.03;0;0.235;1686B015;4960999405339;Canon;4
987687658;Hardware;Kensington Bæretaske  15.4 Sort;24.75;0;0.8;K62563EU;0085896625636;Kensington Computer Products Group;4
987688349;Hardware;HP 72  gul;46.73;1;0.225;C9373A;808736779821;Hewlett-Packard;0
987688487;Hardware;Epson T1001 Sort 995 sider ;20.35;0;0.07;C13T10014010;8715946416120;Epson;5
